Distance(mm),Time(ms),Amptitude(mV)
0,0.388680,124.00
0,0.388720,124.00
0,0.388760,124.00
0,0.388800,124.00
0,0.388840,124.00
0,0.388880,124.00
0,0.388920,124.00
0,0.388960,124.00
0,0.389000,124.00
0,0.389040,124.00
0,0.389080,124.00
0,0.389120,123.00
0,0.389160,124.00
0,0.389200,123.00
0,0.389240,124.00
0,0.389280,124.00
0,0.389320,123.00
0,0.389360,124.00
0,0.389400,124.00
0,0.389440,124.00
0,0.389480,125.00
0,0.389520,124.00
0,0.389560,124.00
0,0.389600,124.00
0,0.389640,124.00
0,0.389680,124.00
0,0.389720,124.00
0,0.389760,124.00
0,0.389800,124.00
0,0.389840,125.00
0,0.389880,125.00
0,0.389920,125.00
0,0.389960,125.00
0,0.390000,124.00
0,0.390040,124.00
0,0.390080,125.00
0,0.390120,124.00
0,0.390160,124.00
0,0.390200,124.00
0,0.390240,124.00
0,0.390280,125.00
0,0.390320,124.00
0,0.390360,124.00
0,0.390400,124.00
0,0.390440,124.00
0,0.390480,124.00
0,0.390520,123.00
0,0.390560,124.00
0,0.390600,124.00
0,0.390640,124.00
0,0.390680,124.00
0,0.390720,124.00
0,0.390760,124.00
0,0.390800,124.00
0,0.390840,124.00
0,0.390880,124.00
0,0.390920,124.00
0,0.390960,124.00
0,0.391000,124.00
0,0.391040,124.00
0,0.391080,124.00
0,0.391120,124.00
0,0.391160,124.00
0,0.391200,124.00
0,0.391240,124.00
0,0.391280,124.00
0,0.391320,124.00
0,0.391360,124.00
0,0.391400,124.00
0,0.391440,124.00
0,0.391480,124.00
0,0.391520,123.00
0,0.391560,124.00
0,0.391600,124.00
0,0.391640,124.00
0,0.391680,125.00
0,0.391720,125.00
0,0.391760,125.00
0,0.391800,124.00
0,0.391840,123.00
0,0.391880,124.00
0,0.391920,124.00
0,0.391960,124.00
0,0.392000,124.00
0,0.392040,125.00
0,0.392080,124.00
0,0.392120,123.00
0,0.392160,124.00
0,0.392200,124.00
0,0.392240,124.00
0,0.392280,124.00
0,0.392320,124.00
0,0.392360,124.00
0,0.392400,123.00
0,0.392440,124.00
0,0.392480,124.00
0,0.392520,124.00
0,0.392560,124.00
0,0.392600,123.00
0,0.392640,124.00
0,0.392680,125.00
0,0.392720,125.00
0,0.392760,124.00
0,0.392800,123.00
0,0.392840,124.00
0,0.392880,124.00
0,0.392920,124.00
0,0.392960,124.00
0,0.393000,123.00
0,0.393040,124.00
0,0.393080,125.00
0,0.393120,124.00
0,0.393160,124.00
0,0.393200,124.00
0,0.393240,124.00
0,0.393280,124.00
0,0.393320,124.00
0,0.393360,124.00
0,0.393400,124.00
0,0.393440,124.00
0,0.393480,124.00
0,0.393520,124.00
0,0.393560,124.00
0,0.393600,124.00
0,0.393640,124.00
0,0.393680,125.00
0,0.393720,124.00
0,0.393760,124.00
0,0.393800,124.00
0,0.393840,124.00
0,0.393880,124.00
0,0.393920,124.00
0,0.393960,124.00
0,0.394000,124.00
0,0.394040,125.00
0,0.394080,125.00
0,0.394120,125.00
0,0.394160,125.00
0,0.394200,124.00
0,0.394240,124.00
0,0.394280,125.00
0,0.394320,124.00
0,0.394360,124.00
0,0.394400,124.00
0,0.394440,124.00
0,0.394480,125.00
0,0.394520,124.00
0,0.394560,124.00
0,0.394600,125.00
0,0.394640,124.00
0,0.394680,124.00
0,0.394720,124.00
0,0.394760,123.00
0,0.394800,124.00
0,0.394840,124.00
0,0.394880,124.00
0,0.394920,124.00
0,0.394960,124.00
0,0.395000,124.00
0,0.395040,124.00
0,0.395080,124.00
0,0.395120,124.00
0,0.395160,124.00
0,0.395200,124.00
0,0.395240,124.00
0,0.395280,125.00
0,0.395320,124.00
0,0.395360,124.00
0,0.395400,124.00
0,0.395440,124.00
0,0.395480,124.00
0,0.395520,124.00
0,0.395560,124.00
0,0.395600,124.00
0,0.395640,124.00
0,0.395680,124.00
0,0.395720,124.00
0,0.395760,125.00
0,0.395800,125.00
0,0.395840,124.00
0,0.395880,124.00
0,0.395920,124.00
0,0.395960,124.00
0,0.396000,124.00
0,0.396040,123.00
0,0.396080,124.00
0,0.396120,124.00
0,0.396160,124.00
0,0.396200,123.00
0,0.396240,123.00
0,0.396280,123.00
0,0.396320,123.00
0,0.396360,124.00
0,0.396400,124.00
0,0.396440,124.00
0,0.396480,124.00
0,0.396520,124.00
0,0.396560,124.00
0,0.396600,124.00
0,0.396640,124.00
0,0.396680,124.00
0,0.396720,124.00
0,0.396760,124.00
0,0.396800,124.00
0,0.396840,124.00
0,0.396880,124.00
0,0.396920,123.00
0,0.396960,124.00
0,0.397000,124.00
0,0.397040,124.00
0,0.397080,125.00
0,0.397120,124.00
0,0.397160,123.00
0,0.397200,124.00
0,0.397240,124.00
0,0.397280,124.00
0,0.397320,124.00
0,0.397360,124.00
0,0.397400,124.00
0,0.397440,124.00
0,0.397480,124.00
